dataset,n_samples,k,stack_base_sec,meta_sec,total_sec,total_min
BLCA,399.0,15.0,844.7312272071838,0.06965503692626948,844.8008822441101,14.080014704068503
BRCA,995.0,15.0,2125.7316856861116,0.06973237991333006,2125.801418066025,35.430023634433745
COADREAD,449.0,15.0,943.1911470890045,0.07190942764282222,943.2630565166473,15.721050941944123
GEA,461.0,15.0,940.3006249427796,0.07470779418945309,940.375332736969,15.672922212282817
HNSC,506.0,15.0,1059.4079768657684,0.06801300048828121,1059.4759898662567,17.657933164437612
KIRCKICH,556.0,15.0,1145.9848102092742,0.05902924537658688,1146.0438394546509,19.100730657577515
LGGGBM,782.0,15.0,1641.196955394745,0.07665743827819822,1641.273612833023,27.35456021388372
LUAD,500.0,15.0,1050.3312806129456,0.06919546127319331,1050.4004760742187,17.506674601236977
LUSC,460.0,15.0,953.6589525699616,0.06975641250610345,953.7287089824677,15.895478483041128
SKCM,444.0,15.0,920.928433561325,0.06761422157287593,920.9960477828979,15.349934129714967
THCA,486.0,15.0,1008.6337864875793,0.06759643554687496,1008.7013829231262,16.811689715385437
UCEC,499.0,15.0,1048.1706622600555,0.06826996803283686,1048.2389322280883,17.470648870468143
